Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Dominican Republic,965154,299223,191229,206446,341234,74102,757767,302547,387708,373088,603663,2145238,2486768,2818385,1048675,732179,224629,2891319,3787576,4674627,2709316,3870481,4565259,3450337,3542884,3487085,3330354,3836016,3381633
Ecuador,100539,337981,85806,77050,189370,146521,83231,108910,344935,292418,301367,560598,850616,1222687,483015,531290,1115970,983715,662876,830132,593168,374011,787414,775820,770028,1150128,966273,1960258,2576367
Egypt,60150,40177,177563,293676,154388,240220,5502545,427806,540323,508074,1503239,3663654,2116712,51137058,11299715,2755960,3581457,1534763,2449501,2036427,2259935,5398219,12444882,8447233,16580182,18570969,13041976,19598664,16083801
El Salvador,26413,173351,119535,132014,33756,103151,179891,463165,158024,183989,443751,512742,200257,977214,584113,655555,616580,393091,2342874,1657325,1373071,3035909,4523267,2739758,2642802,1987823,2582837,19046363,2042633
Equatorial Guinea,364613,9100,30135,1306,0,0,0,0,0,9469,14500,0,86687,2719,63713,4242,3948,0,0,9880,18255,3194,0,1389,0,3218,0,0,0
Eritrea,0,1566,0,0,50978,146283,601088,305942,29472,109131,0,182566,85284,0,3273,19620,61989,63554,10219,0,0,13790,0,0,0,6840,7213,3386,1571
Estonia,911807,586761,2007612,2026333,1561356,6164349,7064930,10330876,22477678,19113306,61165958,34705095,32147990,22881054,22022689,19364430,36377372,33397334,36146454,42785187,34112446,60385660,46141737,53555434,47974934,54064795,37998442,61178239,61064538
Eswatini,0,0,0,0,0,159875,438454,3919166,447365,213436,272192,870474,1608688,686767,607341,14756275,13049922,3788887,498656,576278,558698,407442,361253,187699,246203,132452,277569,337676,358993
Ethiopia,13908,212022,0,72222,6484,0,2486108,0,0,0,164471,186658,183999,610623,247183,56244,22895,37312,59770,1161326,167216,817471,335794,466821,220937,323686,330392,1810831,108185
Falkland Islands,0,0,0,0,8137,615205,0,0,0,24782,63371,0,0,32213,0,0,0,0,0,0,0,0,0,0,0,1869,0,6672,0
Faroe Islands,0,0,48559,13944,2204,0,16738,33388,0,11156,5835,4063,199582,2148,12276,0,20548,1656,0,19636,1769,1272,0,2308,8692,0,5979,96907,85132
Fiji,0,10295,4167,150682,28401,189617,53186,189509,31909,18241,27937,119680,23889,17625,7868,21115,9265,8981,8334,18852,43761,212998,222642,510535,141376,41870,14631,27318,141187
Finland,86472568,83622506,92303790,193840964,232023358,354071152,216004203,159623688,259514677,465634338,270054011,180476053,256899927,262735323,157748472,158997178,198922711,216509182,256998463,339378658,280154963,376979544,475372942,464082555,334184897,236280853,297339596,744829591,594649095
France,3931519123,4333140540,4979592351,5755138421,5688431596,6640815299,5339039652,4516448710,4848608044,5585741171,6557495999,7118215186,6894058238,6593641042,5007358912,7307139273,8502065756,7398762081,7653808816,7432321637,6961733227,6766828713,7037440741,7599579789,7710841866,6406120926,7284749018,9603050492,9291895848
French Guiana,16503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,0,114395,139292,56947,91529,274083,81693,264699,296411,22174,80193,88178,60640,110824,56864,69219,133684,221989,37265,17257,30283,174469,119717,61962,50370,25617,190997,113612,265290
French Southern and Antarctic Lands,0,0,0,0,2180930,0,265897,0,0,2022,0,0,0,0,4168,4365,40602,0,0,0,5416,0,0,0,3119,0,5220,6614,7901
Gabon,0,3783,5481,1584,67445,18709,11377,65627,300337,56654,96270,259432,40634,127213,93871,1449274,865953,873718,454412,95048,255450,207122,72213,87928,64609,253120,253976,169333,247363
Georgia,139629,266128,46972,191991,750570,3146714,305194,841613,630487,1727056,1280682,11474055,831958,1825895,531988,315437,1868060,956811,2668469,978328,1054929,481267,420281,1021080,1853173,424261,9727281,752876,492011
Germany,5353278226,4864794759,5282269993,5778116994,6161971709,9048002699,7901091869,8075210582,10189580245,12221018038,12025522788,11745020167,13021000825,12462441031,8083366559,9968241351,10327646453,10419555659,11498920634,13400263116,11634661778,11870370013,15200591116,16070329687,14493242411,12521888582,15537991164,19162477079,20696542582
Ghana,0,7819,18726,1425,7411,100692,76328,48952,32427,26080,35951,6685,207653,208164,24937,46416,1120262,321901,349164,1630071,1306025,394450,135506,379232,148046,76839,565821,2809631,2463811
Gibraltar,217991,1610,0,48709,0,0,4030,13604,10217,103969,14015,1488,32059,12658,2604,5312,3745,486333,9259,9264,5539,6944,14011,3839,3826,0,5671,1354,0
Greece,3115306,3342760,6662403,7916851,11336685,20191510,13673723,11903663,16912651,29254207,17603111,22834902,37257314,44984233,43980924,27435071,24055476,9558050,20654193,18572384,15415500,21905510,25162667,36868903,41612703,65430177,91911366,63883780,71862056
Greenland,1773,8481,54960,54601,5472,39354,20350,871530,10445907,3141,9707,7343,48381,341185,21034,2686,0,0,93693,1430,69397,0,0,0,1792,0,29631,9692,61122
Grenada,1791,18982,17280,0,0,0,0,3074,0,14194,41455,4831,496551,2785,7599,679,21523,11444,4588,17021,11047,0,9213,258092,9820,10618,11518,3866,1283
Guadeloupe,112878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
